workerid,proliferate.condition,condition,creature1_response,creature2_response,creature3_response,creature_1,creature_2,creature_3,error
4046,condition 1,same,1,2,1,Zerp,Jig,Xan,
3940,condition 1,different,5,4,5,Zerp,Jig,Xan,
4072,condition 1,same,2,2,2,Jig,Zerp,Xan,
3980,condition 1,different,5,4,5,Zerp,Jig,Xan,
3950,condition 1,different,1,1,1,Xan,Jig,Zerp,
3941,condition 1,same,3,3,3,Zerp,Jig,Xan,
3935,condition 1,different,0,0,0,Xan,Jig,Zerp,
4121,condition 1,different,1,2,1,Xan,Jig,Zerp,
4030,condition 1,same,4,5,4,Xan,Zerp,Jig,
3982,condition 1,same,0,0,0,Jig,Xan,Zerp,
4067,condition 1,different,2,2,2,Zerp,Jig,Xan,
3969,condition 1,different,1,1,1,Jig,Zerp,Xan,
4018,condition 1,different,2,2,1,Jig,Zerp,Xan,
3971,condition 1,same,4,3,4,Zerp,Jig,Xan,
4071,condition 1,different,1,2,1,Zerp,Jig,Xan,
3973,condition 1,same,6,6,6,Jig,Zerp,Xan,
4123,condition 1,same,4,5,5,Zerp,Jig,Xan,
4100,condition 1,same,2,2,3,Xan,Jig,Zerp,
4095,condition 1,different,4,4,6,Jig,Xan,Zerp,
4101,condition 1,same,6,6,5,Xan,Zerp,Jig,
3966,condition 1,different,3,1,1,Xan,Zerp,Jig,
4060,condition 1,same,5,5,5,Xan,Jig,Zerp,
3998,condition 1,same,3,2,2,Zerp,Jig,Xan,
3958,condition 1,same,6,6,0,Jig,Xan,Zerp,
4064,condition 1,different,2,2,4,Zerp,Jig,Xan,
3984,condition 1,different,4,3,5,Xan,Zerp,Jig,
4076,condition 1,different,4,2,2,Zerp,Xan,Jig,
3943,condition 1,same,2,2,2,Xan,Zerp,Jig,
3994,condition 1,same,5,5,5,Zerp,Xan,Jig,
4092,condition 1,different,5,5,5,Jig,Zerp,Xan,
4037,condition 1,same,5,4,5,Jig,Xan,Zerp,
3979,condition 1,different,5,5,5,Jig,Xan,Zerp,
4098,condition 1,same,1,1,1,Xan,Jig,Zerp,
4094,condition 1,same,2,4,5,Jig,Xan,Zerp,
4042,condition 1,same,2,2,2,Xan,Zerp,Jig,
4111,condition 1,different,4,4,4,Zerp,Jig,Xan,
3961,condition 1,different,0,0,1,Jig,Zerp,Xan,
4009,condition 1,same,5,5,6,Jig,Zerp,Xan,
4032,condition 1,different,4,5,5,Xan,Zerp,Jig,
4093,condition 1,different,0,0,0,Xan,Jig,Zerp,
3949,condition 1,different,2,2,2,Xan,Jig,Zerp,
4058,condition 1,same,0,0,0,Jig,Xan,Zerp,
4117,condition 1,different,2,0,0,Zerp,Xan,Jig,
3972,condition 1,same,6,6,6,Jig,Xan,Zerp,
4089,condition 1,same,6,3,5,Jig,Zerp,Xan,
4077,condition 1,same,0,6,6,Xan,Jig,Zerp,
3983,condition 1,same,5,5,5,Jig,Zerp,Xan,
4075,condition 1,same,4,4,4,Jig,Zerp,Xan,
4105,condition 1,same,4,6,3,Zerp,Jig,Xan,
3947,condition 1,different,2,3,2,Zerp,Jig,Xan,
4096,condition 1,different,0,0,0,Jig,Zerp,Xan,
3920,condition 1,different,0,3,3,Jig,Zerp,Xan,
3944,condition 1,different,0,0,1,Xan,Jig,Zerp,
3962,condition 1,different,6,5,5,Xan,Zerp,Jig,
4021,condition 1,same,1,2,2,Xan,Zerp,Jig,
3939,condition 1,different,0,2,2,Zerp,Jig,Xan,
3932,condition 1,different,5,3,6,Xan,Jig,Zerp,
4027,condition 1,different,5,6,6,Zerp,Xan,Jig,
4041,condition 1,different,2,2,2,Zerp,Jig,Xan,
4050,condition 1,different,1,1,1,Zerp,Xan,Jig,
4012,condition 1,same,3,3,3,Xan,Jig,Zerp,
4118,condition 1,same,2,4,4,Jig,Xan,Zerp,
3957,condition 1,same,2,2,2,Zerp,Jig,Xan,
4103,condition 1,same,4,4,4,Xan,Zerp,Jig,
4010,condition 1,different,1,2,1,Zerp,Xan,Jig,
4005,condition 1,different,0,0,0,Zerp,Xan,Jig,
4083,condition 1,different,4,5,6,Xan,Jig,Zerp,
4008,condition 1,different,2,2,2,Jig,Xan,Zerp,
4080,condition 1,same,1,3,4,Xan,Zerp,Jig,
4125,condition 1,different,1,0,1,Zerp,Xan,Jig,
4057,condition 1,different,6,0,0,Jig,Xan,Zerp,
3964,condition 1,same,3,4,4,Zerp,Xan,Jig,
3981,condition 1,same,4,4,4,Xan,Zerp,Jig,
3938,condition 1,same,6,5,4,Zerp,Xan,Jig,
4002,condition 1,same,5,4,5,Jig,Xan,Zerp,
3963,condition 1,same,4,4,4,Xan,Zerp,Jig,
3923,condition 1,same,1,2,2,Zerp,Jig,Xan,
3933,condition 1,same,5,5,5,Xan,Jig,Zerp,
4007,condition 1,same,1,1,1,Zerp,Jig,Xan,
4023,condition 1,same,5,6,6,Zerp,Xan,Jig,
3954,condition 1,different,5,5,4,Xan,Zerp,Jig,
3985,condition 1,same,2,3,3,Zerp,Xan,Jig,
4053,condition 1,same,4,4,4,Xan,Zerp,Jig,
3976,condition 1,same,3,4,4,Jig,Xan,Zerp,
3986,condition 1,different,6,6,6,Xan,Jig,Zerp,
4024,condition 1,same,5,5,5,Zerp,Jig,Xan,
4109,condition 1,different,1,1,1,Jig,Xan,Zerp,
4019,condition 1,different,4,2,3,Xan,Jig,Zerp,
4068,condition 1,different,4,2,2,Xan,Jig,Zerp,
4038,condition 1,different,1,0,0,Jig,Zerp,Xan,
4014,condition 1,different,4,3,6,Zerp,Jig,Xan,
4006,condition 1,different,4,4,3,Xan,Jig,Zerp,
3989,condition 1,same,3,4,2,Jig,Zerp,Xan,
4044,condition 1,different,6,6,6,Jig,Zerp,Xan,
3937,condition 1,same,4,3,4,Xan,Jig,Zerp,
4056,condition 1,same,1,2,5,Xan,Jig,Zerp,
4016,condition 1,same,5,4,4,Xan,Zerp,Jig,
3990,condition 1,same,6,6,6,Xan,Jig,Zerp,
4108,condition 1,different,4,5,5,Jig,Zerp,Xan,
3956,condition 1,same,4,3,3,Zerp,Xan,Jig,
3988,condition 1,different,0,3,2,Jig,Xan,Zerp,
4087,condition 1,different,6,6,6,Xan,Zerp,Jig,
4061,condition 1,same,6,5,6,Jig,Xan,Zerp,
3967,condition 1,different,4,4,5,Jig,Zerp,Xan,
3987,condition 1,same,1,1,1,Zerp,Jig,Xan,
4078,condition 1,different,4,4,4,Zerp,Xan,Jig,
4099,condition 1,different,2,3,2,Jig,Zerp,Xan,
3974,condition 1,different,5,5,6,Xan,Zerp,Jig,
4069,condition 1,different,3,2,0,Zerp,Jig,Xan,
3936,condition 1,same,6,6,6,Zerp,Xan,Jig,
3995,condition 1,same,2,3,1,Jig,Zerp,Xan,
3978,condition 1,same,2,2,2,Zerp,Jig,Xan,
4091,condition 1,same,3,4,2,Xan,Zerp,Jig,
3959,condition 1,same,5,5,5,Xan,Jig,Zerp,
3931,condition 1,same,4,4,4,Zerp,Xan,Jig,
4124,condition 1,different,2,3,3,Jig,Xan,Zerp,
4073,condition 1,same,5,5,5,Zerp,Jig,Xan,
4045,condition 1,different,1,4,3,Jig,Zerp,Xan,
4040,condition 1,different,3,3,3,Jig,Xan,Zerp,
4115,condition 1,same,2,2,2,Jig,Xan,Zerp,
4090,condition 1,same,5,5,5,Jig,Zerp,Xan,
4082,condition 1,same,3,3,3,Xan,Jig,Zerp,
3945,condition 1,different,6,6,5,Zerp,Jig,Xan,
4084,condition 1,same,4,4,4,Xan,Zerp,Jig,
3952,condition 1,different,4,4,4,Jig,Xan,Zerp,
3951,condition 1,different,3,5,3,Zerp,Jig,Xan,
3997,condition 1,same,1,1,4,Jig,Zerp,Xan,
3992,condition 1,same,5,5,5,Xan,Zerp,Jig,
3921,condition 1,different,0,4,6,Xan,Jig,Zerp,
4049,condition 1,same,5,4,5,Xan,Zerp,Jig,
4036,condition 1,same,5,4,4,Jig,Zerp,Xan,
4033,condition 1,same,4,4,5,Xan,Jig,Zerp,
4107,condition 1,different,6,6,6,Xan,Zerp,Jig,
4017,condition 1,same,6,6,6,Zerp,Xan,Jig,
3925,condition 1,same,5,5,5,Zerp,Jig,Xan,
3968,condition 1,different,2,3,2,Jig,Zerp,Xan,
4074,condition 1,different,0,2,2,Zerp,Xan,Jig,
3955,condition 1,different,5,4,4,Zerp,Jig,Xan,
4113,condition 1,same,3,3,3,Zerp,Jig,Xan,
4025,condition 1,same,6,6,6,Jig,Xan,Zerp,
4114,condition 1,same,4,4,4,Jig,Xan,Zerp,
4015,condition 1,same,0,0,5,Zerp,Xan,Jig,
3930,condition 1,same,6,6,6,Zerp,Xan,Jig,
